"Page Title","UI Component Name","Function description","Tshirt Sizing","Number of occurrences","Complexity justification","Page URL","Source block name","Variation type","Variation description","Other remarks"
"Mechanism of Action","Section BG Brushstroke","Decorative section with brushstroke SVG background image applied to content container, used to create visual texture on glacier/white gradient sections.","S","6","Background SVG asset positioning; multiple gradient variants (glacier-white, white-glacier)","https://www.rinvoqhcp.com/mechanism-of-action","Columns","General","Brushstroke background section container","Multiple gradient direction variants"
"Real Patients","Hero Banner - Real Patients","Real patients page hero with patient photography, indication-specific eyebrow text, and patient profile introduction.","M","1","Patient photography; ad-real-patients variant; AD-specific eyebrow","https://www.rinvoqhcp.com/atopic-dermatitis/real-patients","Hero","Real Patients","Real patient story hero with patient photo",""
"Real Patients","Tabs Component - Patient Profiles","Tabbed patient profile sections with photo, story, and clinical data for each featured patient.","C","1","Patient photo; story copy; clinical data per tab; mobile stacked","https://www.rinvoqhcp.com/atopic-dermatitis/real-patients","Tabs","Real Patients","Patient profile tabs with photo and story","patient-profile-tabs variant"
"Expert Insights","Hero Banner - Expert Insights","Expert insights page hero with physician photography and gastroenterology indication context.","M","1","Physician imagery; expert-specific styling","https://www.rinvoqhcp.com/gastroenterology/expert-insights","Hero","Expert Insights","Expert insights page hero",""
"Expert Insights","Video Player - Expert","Video player for physician interview/insights video with custom poster and controls.","M","1","Expert video embed; custom poster","https://www.rinvoqhcp.com/gastroenterology/expert-insights","Video","Expert Insights","Expert physician interview video player",""
"Resources & Support","Hero Banner - Resources","Resources page hero with general indication heading and intro to available materials.","M","2","Resources-specific content; generic indication styling","https://www.rinvoqhcp.com/resources","Hero","Resources","Resources page hero",""
"Resources & Support","Resource Container - Gold","Gold-highlighted resource download section with document thumbnails, titles, and PDF download CTAs.","M","2","Document download items; gold brushstroke background; grid layout","https://www.rinvoqhcp.com/resources","Cards","Resources","Gold-background resource/download card grid",""
"Contact a Rep","Contact Form Container","Adaptive Forms embed container for the Contact a Rep form with dynamic field rendering and NPI lookup validation.","C","1","AEM Forms embed; dynamic form fields; NPI validation; CAR form variant","https://www.rinvoqhcp.com/contact-a-rep","Form","Contact","Contact a Rep adaptive form embed","Dynamic form with CAR selection variant"
"Contact a Rep","Hero Banner - Contact","Outlaw-style page header with H1 and brush-graphic styling specific to the Contact a Rep page.","S","1","Outlaw AD page header variant","https://www.rinvoqhcp.com/contact-a-rep","Hero","Contact","Contact a Rep page header",""
"Modal - Exit Site","Exit Site Modal","Modal dialog shown when user clicks an external link, confirming navigation away from rinvoqhcp.com.","S","1","Standard exit modal pattern; two CTA buttons","https://www.rinvoqhcp.com","Modal","Global","Exit-site interstitial modal","Triggered by external links"
"Modal - Footnotes","Footnotes & Definitions Modal","Modal dialog displaying expanded clinical footnotes and definitions for superscript references on efficacy pages.","S","1","Footnotes content; modal container","https://www.rinvoqhcp.com","Modal","Efficacy","Footnotes and definitions modal","Triggered by footnote superscript links"
"Inline ISI","Inline ISI / Indication Statement","Full-width inline ISI section with Indications & Important Safety Information text container (use statement), required regulatory block.","C","14","Complete regulatory text; indication-swap multi-condition variants; two-column layout (indications + black-bg ISI)","https://www.rinvoqhcp.com","Safety Bar","Global","Inline ISI use statement section","Regulatory requirement; abbv-inline-use-isi pattern"
"Promo Drawer","Promo Drawer","Dismissable promotional content drawer/banner that appears contextually to highlight specific programs or content.","M","2","Dismiss interaction; animation; cookie persistence","https://www.rinvoqhcp.com/rheumatology","Promo Drawer","Global","Dismissable promo/offer drawer",""
