"Page Title","UI Component Name","Function description","Tshirt Sizing","Number of occurrences","Complexity justification","Page URL","Source block name","Variation type","Variation description","Other remarks"
"How It May Help","Rich Text Block","Rich text content for clinical copy, trial result narratives, footnotes, and regulatory disclaimers.","S","30","Standard rich text; pharma footnotes; superscripts","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","Rich Text","General","Rich text body copy block",""
"How It May Help","Titles","Heading block with H1/H2/H3 and optional eyebrow text for section headings on clinical pages.","S","20","Standard heading","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","Titles","General","Section heading / title block",""
"How It May Help","CTA Button","Single call-to-action link/button for navigating to related pages or external resources.","S","20","Simple link element","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","CTA","General","Standalone CTA button",""
"How It May Help","References Section","Numbered references list at bottom of clinical pages in distinct styled container.","S","14","Standard references","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","Rich Text","General","Numbered references list",""
"How It Works (MoA)","Hero Banner - MoA","Mechanism of action page hero with Venclexta BCL-2 pathway visual and headline.","M","2","MoA pathway graphic; scientific imagery","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-works","Hero","MoA","MoA page hero with BCL-2 pathway visual",""
"How It Works (MoA)","Video Player","Embedded video player for the MoA animation with poster image, play button, and lazy loading.","M","2","Video embed; MoA animation; lazy load; accessibility","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-works","Video","MoA","MoA animation video player",""
"How It Works (MoA)","Flexbox Content Section","Multi-column flexbox layout presenting MoA key points or feature highlights with icons and copy.","M","2","Multi-column responsive; icon support","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-works","Columns","MoA","Multi-column MoA feature section",""
"Efficacy / Combination Regimens","Hero Banner - Efficacy","Efficacy page hero with trial name, combination regimen name (e.g. VENCLEXTA + Azacitidine), and key outcome headline.","M","5","Regimen-specific content; AML vs CLL indication variants","https://www.venclexta.com/aml/why-venclexta/venclexta-azacitidine","Hero","Efficacy","Efficacy/combination regimen hero",""
"Efficacy / Combination Regimens","Accordion Block","Collapsible sections for additional study details, patient population breakdowns, or subgroup analyses.","M","5","Expand/collapse animation; keyboard accessible","https://www.venclexta.com/aml/why-venclexta/venclexta-azacitidine","Accordion","Efficacy","Collapsible efficacy detail sections",""
"Efficacy / Combination Regimens","Columns Layout","Multi-column layout for presenting efficacy endpoints, data tables, and KM curve images side-by-side.","M","10","Responsive column layout; clinical data","https://www.venclexta.com/aml/why-venclexta/venclexta-azacitidine","Columns","Efficacy","Multi-column clinical data layout",""
"Patient Stories","Hero Banner - Patient Stories","Patient stories hub hero with patient photography and CLL-specific headline.","M","2","Patient photography; story section intro","https://www.venclexta.com/previously-untreated-cll/why-venclexta/cll-stories","Hero","Patient Stories","Patient stories page hero",""
"Patient Stories","Patient Story Card - Video","Patient story card with patient photograph, name, diagnosis context, pull-quote, and embedded video player.","C","4","Patient photography; video embed; story copy; accessibility","https://www.venclexta.com/previously-untreated-cll/why-venclexta/cll-stories","Video","Patient Stories","Patient story card with embedded video","Each card contains photo + quote + video player"
"Patient Stories","Columns - Story Grid","Grid layout organizing multiple patient story cards in a responsive grid.","M","2","Grid layout; card components","https://www.venclexta.com/previously-untreated-cll/why-venclexta/cll-stories","Columns","Patient Stories","Patient story card grid",""
"About the Disease","Hero Banner - Disease Education","Disease education page hero with condition name (CLL/SLL or AML) and educational intro headline.","M","8","Disease-specific content; educational tone","https://www.venclexta.com/previously-untreated-cll/about-cll-sll/what-is-cll-sll","Hero","Disease Education","Disease education page hero",""
"About the Disease","Background Container - Gray","Light gray background content section used to visually separate educational content blocks.","S","16","Gray background variant","https://www.venclexta.com/previously-untreated-cll/about-cll-sll/what-is-cll-sll","Columns","Disease Education","Gray-background content section",""
"About the Disease","Accordion - Disease Facts","Collapsible disease information accordion for expanding details about CLL stages, diagnosis criteria, or treatment types.","M","8","Patient-facing content; accessible accordion","https://www.venclexta.com/previously-untreated-cll/about-cll-sll/what-is-cll-sll","Accordion","Disease Education","Disease facts collapsible accordion",""
"Side Effects","Hero Banner - Side Effects","Side effects page hero with indication-specific headline and intro to possible side effects.","M","3","Indication-specific; side effects content","https://www.venclexta.com/previously-untreated-cll/possible-side-effects","Hero","Side Effects","Possible side effects page hero",""
"Side Effects","Columns - Side Effects","Multi-column layout presenting common and serious side effects with icons, descriptions, and frequency data.","M","3","Side effects data; icon support; grid layout","https://www.venclexta.com/previously-untreated-cll/possible-side-effects","Columns","Side Effects","Side effects multi-column grid",""
"Dosing Schedule","Hero Banner - Dosing","Dosing schedule page hero with indication-specific headline and intro to the ramp-up schedule.","M","3","Indication-specific dosing; ramp-up schedule context","https://www.venclexta.com/previously-untreated-cll/taking-venclexta/dosing-schedule","Hero","Dosing","Dosing schedule page hero",""
"Dosing Schedule","Columns - Ramp-Up Schedule","Ramp-up dosing schedule visual with week-by-week dose columns, current dose highlight, and TLS risk level indicators.","C","3","Complex ramp-up table visual; TLS risk indicator; week columns","https://www.venclexta.com/previously-untreated-cll/taking-venclexta/dosing-schedule","Columns","Dosing","Ramp-up dosing schedule visual","Unique to Venclexta; TLS monitoring required"
"Dosing Schedule","Actions Block","Interactive action items or download links block for dosing-related patient tools and calendar downloads.","S","3","Simple action links","https://www.venclexta.com/previously-untreated-cll/taking-venclexta/dosing-schedule","CTA","Dosing","Dosing action links / downloads",""
"Dosing Instructions","Hero Banner - Dosing Instructions","Dosing instructions page hero with indication-specific headline and how-to-take context.","M","3","Instruction-focused content","https://www.venclexta.com/previously-untreated-cll/taking-venclexta/dosing-instructions","Hero","Dosing","Dosing instructions page hero",""
"Dosing Instructions","Image Text V2 - Instructions","Step-by-step instruction visual with numbered steps, illustration images, and concise copy for taking VENCLEXTA.","M","3","Step-by-step instructional layout; numbered list with images","https://www.venclexta.com/previously-untreated-cll/taking-venclexta/dosing-instructions","Image Text V2","Dosing","Step-by-step taking instructions visual",""
"Resources & Support","Hero Banner - Resources","Resources page hero with indication-specific headline and intro to support materials.","M","6","Indication-specific; resources section","https://www.venclexta.com/previously-untreated-cll/resources-and-support/helpful-resources-and-materials","Hero","Resources","Resources page hero",""
"Resources & Support","Columns - Resources Grid","Grid of downloadable resource cards (PDFs, brochures) with thumbnail images, titles, and download CTAs.","M","6","Resource download grid; PDF thumbnails; CTA links","https://www.venclexta.com/previously-untreated-cll/resources-and-support/helpful-resources-and-materials","Cards","Resources","Downloadable resource card grid",""
"Resources & Support","Columns - Financial Support","Financial and treatment support section with Venclexta Together program details, phone numbers, and enrollment CTAs.","M","6","Support program details; eligibility info; CTAs","https://www.venclexta.com/previously-untreated-cll/resources-and-support/financial-and-treatment-support","Columns","Resources","Financial/treatment support section",""
"Conversation Guide","Hero Banner - Conversation Guide","Conversation guide page hero with illustration/imagery and headline for doctor conversation preparation tool.","M","3","Guide-specific imagery; patient-facing tone","https://www.venclexta.com/conversation-guide","Hero","Conversation Guide","Conversation guide page hero",""
"Conversation Guide","Accordion - Conversation Topics","Accordion organizing conversation topic areas (questions about diagnosis, treatment, side effects) for the doctor conversation guide.","M","3","Topic-organized accordion; patient-facing questions","https://www.venclexta.com/conversation-guide","Accordion","Conversation Guide","Conversation topics accordion",""
"VEN Zone Sign-Up","Hero Banner - Sign Up","Sign-up page hero for the VEN Zone patient support program with enrollment headline and intro.","M","2","Sign-up form intro; program branding","https://www.venclexta.com/previously-untreated-cll/ven-zone-signup","Hero","Sign Up","VEN Zone enrollment page hero",""
"VEN Zone Sign-Up","Contact Form","Embedded form for VEN Zone patient enrollment/sign-up with fields for patient information and consent.","C","2","Form embed; validation; patient data; consent checkboxes","https://www.venclexta.com/previously-untreated-cll/ven-zone-signup","Form","Sign Up","VEN Zone patient enrollment form","Now Approved variant for AML patients"
"Find HCP / Utility","Hero Banner - Find HCP","Find a healthcare provider page hero with doctor-finder tool intro headline and CTA.","M","2","HCP finder tool; location-based search","https://www.venclexta.com/previously-untreated-cll/find-a-healthcare-provider","Hero","Find HCP","Find a healthcare provider page hero",""
"Find HCP / Utility","HCP Finder Tool","Interactive healthcare provider finder with location search, specialty filter, and results map/list display.","C","2","Third-party HCP finder integration; map; search filters","https://www.venclexta.com/previously-untreated-cll/find-a-healthcare-provider","Form","Find HCP","Interactive HCP finder tool","Third-party tool embed"
"Inline ISI","Inline ISI - Indication Statement","Full-width inline ISI section with complete Indications and Important Safety Information text (use statement) as required regulatory content.","C","14","Complete regulatory text; CLL and AML indication variants; two-section layout","https://www.venclexta.com","Safety Bar","Global","Inline ISI use statement section","Regulatory requirement"
"Modal - Exit Site","Exit Site Modal","Modal dialog confirming navigation away from venclexta.com to external sites.","S","1","Standard exit modal","https://www.venclexta.com","Modal","Global","Exit-site interstitial modal","Triggered by external links"
